date,sales
01-01-2010,589
01-02-2010,561
01-03-2010,640
01-04-2010,656
01-05-2010,727
01-06-2010,697
01-07-2010,640
01-08-2010,599
01-09-2010,568
01-10-2010,577
01-11-2010,553
01-12-2010,582
01-01-2011,600
01-02-2011,566
01-03-2011,653
01-04-2011,673
01-05-2011,742
01-06-2011,716
01-07-2011,660
01-08-2011,617
01-09-2011,583
01-10-2011,587
01-11-2011,565
01-12-2011,598
01-01-2012,628
01-02-2012,618
01-03-2012,688
01-04-2012,705
01-05-2012,770
01-06-2012,736
01-07-2012,678
01-08-2012,639
01-09-2012,604
01-10-2012,611
01-11-2012,594
01-12-2012,634
01-01-2013,658
01-02-2013,622
01-03-2013,709
01-04-2013,722
01-05-2013,782
01-06-2013,756
01-07-2013,702
01-08-2013,653
01-09-2013,615
01-10-2013,621
01-11-2013,602
01-12-2013,635
01-01-2014,677
01-02-2014,635
01-03-2014,736
01-04-2014,755
01-05-2014,811
01-06-2014,798
01-07-2014,735
01-08-2014,697
01-09-2014,661
01-10-2014,667
01-11-2014,645
01-12-2014,688
01-01-2015,713
01-02-2015,667
01-03-2015,762
01-04-2015,784
01-05-2015,837
01-06-2015,817
01-07-2015,767
01-08-2015,722
01-09-2015,681
01-10-2015,687
01-11-2015,660
01-12-2015,698
01-01-2016,717
01-02-2016,696
01-03-2016,775
01-04-2016,796
01-05-2016,858
01-06-2016,826
01-07-2016,783
01-08-2016,740
01-09-2016,701
01-10-2016,706
01-11-2016,677
01-12-2016,511
01-01-2017,734
01-02-2017,690
01-03-2017,785
01-04-2017,805
01-05-2017,871
01-06-2017,845
01-07-2017,801
01-08-2017,764
01-09-2017,725
01-10-2017,723
01-11-2017,690
01-12-2017,734
01-01-2018,750
01-02-2018,707
01-03-2018,807
01-04-2018,824
01-05-2018,886
01-06-2018,859
01-07-2018,819
01-08-2018,783
01-09-2018,740
01-10-2018,747
01-11-2018,711
01-12-2018,751
01-01-2019,804
01-02-2019,756
01-03-2019,860
01-04-2019,878
01-05-2019,942
01-06-2019,913
01-07-2019,869
01-08-2019,834
01-09-2019,790
01-10-2019,800
01-11-2019,763
01-12-2019,800
01-01-2020,826
01-02-2020,799
01-03-2020,890
01-04-2020,900
01-05-2020,961
01-06-2020,935
01-07-2020,894
01-08-2020,855
01-09-2020,809
01-10-2020,810
01-11-2020,766
01-12-2020,805
01-01-2021,821
01-02-2021,773
01-03-2021,883
01-04-2021,898
01-05-2021,957
01-06-2021,924
01-07-2021,881
01-08-2021,837
01-09-2021,784
01-10-2021,791
01-11-2021,760
01-12-2021,802
01-01-2022,828
01-02-2022,778
01-03-2022,889
01-04-2022,902
01-05-2022,969
01-06-2022,947
01-07-2022,908
01-08-2022,867
01-09-2022,815
01-10-2022,812
01-11-2022,773
01-12-2022,813
01-01-2023,834
01-02-2023,782
01-03-2023,892
01-04-2023,903
01-05-2023,966
01-06-2023,937
01-07-2023,896
01-08-2023,858
01-09-2023,817
01-10-2023,827
01-11-2023,797
01-12-2023,843
